Zeitraum;kWh;Euro;kgCO2;Status
14.10.2022 17:30 - 17:45;2461,000;0,00;1321,557;Ersatzwert
14.10.2022 17:45 - 18:00;2484,000;0,00;1333,908;Ersatzwert
14.10.2022 18:00 - 18:15;2456,000;0,00;1318,872;Ersatzwert
14.10.2022 18:15 - 18:30;2466,000;0,00;1324,242;Ersatzwert
14.10.2022 18:30 - 18:45;2588,000;0,00;1389,756;Ersatzwert
14.10.2022 18:45 - 19:00;2417,000;0,00;1297,929;Ersatzwert
14.10.2022 19:00 - 19:15;2475,000;0,00;1329,075;Ersatzwert
14.10.2022 19:15 - 19:30;2498,000;0,00;1341,426;Ersatzwert
14.10.2022 19:30 - 19:45;2467,000;0,00;1324,779;Ersatzwert
14.10.2022 19:45 - 20:00;2453,000;0,00;1317,261;Ersatzwert
14.10.2022 20:00 - 20:15;2465,000;0,00;1323,705;Ersatzwert
14.10.2022 20:15 - 20:30;2445,000;0,00;1312,965;Ersatzwert
14.10.2022 20:30 - 20:45;2431,000;0,00;1305,447;Ersatzwert
14.10.2022 20:45 - 21:00;2541,000;0,00;1364,517;Ersatzwert
14.10.2022 21:00 - 21:15;2408,000;0,00;1293,096;Ersatzwert
14.10.2022 21:15 - 21:30;2196,000;0,00;1179,252;Ersatzwert
14.10.2022 21:30 - 21:45;2209,000;0,00;1186,233;Ersatzwert
14.10.2022 21:45 - 22:00;2292,000;0,00;1230,804;Ersatzwert
14.10.2022 22:00 - 22:15;2365,000;0,00;1270,005;Ersatzwert
14.10.2022 22:15 - 22:30;2442,000;0,00;1311,354;Ersatzwert
14.10.2022 22:30 - 22:45;2464,000;0,00;1323,168;Ersatzwert
14.10.2022 22:45 - 23:00;2396,000;0,00;1286,652;Ersatzwert
14.10.2022 23:00 - 23:15;2396,000;0,00;1286,652;Ersatzwert
14.10.2022 23:15 - 23:30;2349,000;0,00;1261,413;Ersatzwert
14.10.2022 23:30 - 23:45;2342,000;0,00;1257,654;Ersatzwert
14.10.2022 23:45 - 00:00;2283,000;0,00;1225,971;Ersatzwert
15.10.2022 00:00 - 00:15;2235,000;0,00;1200,195;Ersatzwert
15.10.2022 00:15 - 00:30;2377,000;0,00;1276,449;Ersatzwert
15.10.2022 00:30 - 00:45;2818,000;0,00;1513,266;Ersatzwert
15.10.2022 00:45 - 01:00;2604,000;0,00;1398,348;Ersatzwert
15.10.2022 01:00 - 01:15;2649,000;0,00;1422,513;Ersatzwert
15.10.2022 01:15 - 01:30;2703,000;0,00;1451,511;Ersatzwert
15.10.2022 01:30 - 01:45;2733,000;0,00;1467,621;Ersatzwert
